"SKU","EAN","Product","Name","DRAM","RAM (MB)","eMMC (GB)",Feb-26,Dec-25,Nov-25,Oct-25,May-25,Feb-25,Nov-24
"SC0065","5056561800295","Raspberry Pi Zero WH (With Pre-soldered GPIO Header)","Raspberry Pi Zero WH (With Pre-soldered GPIO Header)","LPDDR2",512,0,$16.00,$16.00,$16.00,$16.00,$16.00,"$16.00","$16.00"
"SC0562","5056561802404","Raspberry Pi1 Model A+","Raspberry Pi 1 Model A+","LPDDR2",512,0,$20.00,$20.00,$20.00,$20.00,$20.00,"$20.00","$20.00"
"SC0563","5056561802411","Raspberry Pi1 Model B+","Raspberry Pi 1 Model B+","LPDDR2",512,0,$25.00,$25.00,$25.00,$25.00,$25.00,"$25.00","$25.00"
"SC0021",,"Raspberry Pi2 Model B","Raspberry Pi 2 Model B","LPDDR2",1024,0,$35.00,$35.00,$35.00,$35.00,$35.00,"$35.00","$35.00"
"SC0130(J)","652508442181","Raspberry Pi3 Model A+","Raspberry Pi 3 Model A+","LPDDR2",512,0,$25.00,$25.00,$25.00,$25.00,$25.00,"$25.00","$25.00"
"SC0073","5056561800318","Raspberry Pi3 Model B+","Raspberry Pi 3 Model B+","LPDDR2",1024,0,$40.00,$40.00,$40.00,$40.00,$35.00,"$35.00","$35.00"
"SC0022","5056561802435","Raspberry Pi3 Model B V1.2","Raspberry Pi 3 Model B V1.2","LPDDR2",1024,0,$35.00,$35.00,$35.00,$35.00,$35.00,"$35.00","$35.00"
"SC0192(11)","5056561800325","Raspberry Pi4/1GB","Raspberry Pi 4","LPDDR4",1024,0,$35.00,$35.00,$35.00,$35.00,$35.00,"$35.00","$35.00"
"SC0193(9)","5056561800332 ","Raspberry Pi4/2GB","Raspberry Pi 4","LPDDR4",2048,0,$55.00,$45.00,$45.00,$45.00,$45.00,"$45.00","$45.00"
"SC0194(9)","5056561800349","Raspberry Pi4/4GB","Raspberry Pi 4","LPDDR4",4096,0,"$75.00 ",$60.00,$55.00,$55.00,$55.00,"$55.00","$55.00"
"SC0195(9)","5056561800356","Raspberry Pi4/8GB Rev 9","Raspberry Pi 4 Rev 9","LPDDR4",8192,0,"$115.00 ",$85.00,$75.00,$75.00,$75.00,"$75.00","$75.00"
"SC1110","5056561803296","Raspberry Pi5/2GB","Raspberry Pi 5","LPDDR4X",2048,0,"$65.00 ",$55.00,$50.00,$50.00,$50.00,"$50.00","$50.00"
"SC1111","5056561803319","Raspberry Pi5/4GB","Raspberry Pi 5","LPDDR4X",4096,0,"$85.00 ",$70.00,$60.00,$60.00,$60.00,"$60.00","$60.00"
"SC1112","5056561803326","Raspberry Pi5/8GB","Raspberry Pi 5","LPDDR4X",8192,0,"$125.00 ",$95.00,$80.00,$80.00,$80.00,"$80.00","$80.00"
"SC1113","5056561803333","Raspberry Pi5/16GB","Raspberry Pi 5","LPDDR4X",16384,0,"$205.00 ",$145.00,$120.00,$120.00,$120.00,"$120.00","$120.00"
"SC1176","5056561800004","Raspberry Pi Zero 2 W (new anti-stat bag)","Raspberry Pi Zero 2 W (new anti-stat bag)","LPDDR2",512,0,$15.00,$15.00,$15.00,$15.00,$15.00,"$15.00","$15.00"
"SC0019","5056561800271","Raspberry Pi Zero (V1.3)","Raspberry Pi Zero (V1.3)","LPDDR2",512,0,$12.00,$12.00,$10.00,$10.00,$10.00,"$10.00","$10.00"
"SC0020","5056561800288","Raspberry Pi Zero W","Raspberry Pi Zero W","LPDDR2",512,0,$15.00,$15.00,$15.00,$15.00,$15.00,"$15.00","$15.00"
"SC0721","5056561800011","Raspberry Pi Zero 2 W with Header","Raspberry Pi Zero 2 W with Header","LPDDR2",512,0,$18.00,$18.00,$18.00,$18.00,$18.00,"$18.00","$18.00"
"SC0146","5056561802220","Compute Module CM3+/8GB","CM3+","LPDDR2",1024,8,$30.00,$30.00,$30.00,$30.00,$30.00,"$30.00","$30.00"
